"","name","rflush","four","house","flush","straight","three","tpair","pair","high","win","equal","lost"
"1","AAp",4,413,4353,954,445,5992,19567,18272,0,42852,223,6925
"2","KKp",5,410,4354,934,580,5887,19863,17967,0,40293,240,9467
"3","QQp",8,435,4139,1024,765,5698,19710,18221,0,38181,275,11544
"4","JJp",11,442,4222,982,947,5916,19728,17752,0,35935,248,13817
"5","TTp",7,401,4277,974,1112,5862,19860,17507,0,34364,285,15351
"6","99p",12,426,4240,917,1118,5886,19774,17627,0,32687,282,17031
"7","88p",11,430,4331,1018,1204,5813,19718,17475,0,31436,339,18225
"8","77p",9,423,4247,949,1107,5847,19805,17613,0,30126,311,19563
"9","66p",10,418,4283,990,1137,5833,19747,17582,0,29183,313,20504
"10","55p",6,413,4254,984,1027,5930,19713,17673,0,28103,334,21563
"11","44p",8,427,4176,975,830,5929,19819,17836,0,26939,312,22749
"12","33p",2,394,4335,990,614,5733,19919,18013,0,26280,301,23419
"13","22p",4,388,4279,944,404,5986,19932,18063,0,25376,301,24323
"14","AKs",28,71,1138,3276,1170,2182,11052,21856,9227,33727,677,15596
"15","AQs",25,55,1072,3226,1409,2181,11113,21813,9106,33671,756,15573
"16","AJs",18,56,1193,3212,1590,2194,10854,21549,9334,33269,921,15810
"17","ATs",35,54,1047,3282,1833,2132,11065,21462,9090,33084,999,15917
"18","A9s",1,60,1111,3235,898,2161,11165,21943,9426,32299,1194,16507
"19","A8s",1,58,1110,3178,969,2197,11203,21797,9487,31819,1345,16836
"20","A7s",4,78,1084,3244,909,2223,11066,21794,9598,31540,1521,16939
"21","A6s",0,59,1089,3292,879,2115,11123,21948,9495,31117,1688,17195
"22","A5s",17,69,1186,3299,720,2140,10931,22004,9634,30789,1800,17411
"23","A4s",19,51,1143,3276,632,2195,11033,22119,9532,30778,1786,17436
"24","A3s",17,55,1153,3349,562,2081,11022,22170,9591,30747,1731,17522
"25","A2s",24,63,1131,3252,471,2141,11035,22058,9825,30527,1730,17743
"26","KQs",45,69,1051,3169,2196,2139,10916,21538,8877,31356,957,17687
"27","KJs",58,52,1118,3223,2328,2130,10877,21375,8839,31191,958,17851
"28","KTs",47,73,1128,3205,2504,2113,10961,21265,8704,30905,1159,17936
"29","K9s",33,54,1114,3335,1670,2191,11049,21440,9114,30223,1283,18494
"30","K8s",4,64,1077,3300,955,2214,11102,21898,9386,29169,1442,19389
"31","K7s",5,57,1117,3297,1085,2173,11111,21810,9345,29184,1578,19238
"32","K6s",3,63,1145,3400,952,2271,11055,21668,9443,28659,1801,19540
"33","K5s",1,68,1099,3263,887,2149,11126,21827,9580,28097,1896,20007
"34","K4s",6,61,1129,3189,787,2213,11092,22035,9488,27966,1854,20180
"35","K3s",4,52,1064,3282,663,2160,11043,22085,9647,27953,1869,20178
"36","K2s",2,58,1166,3276,592,2126,11101,22066,9613,28198,1897,19905
"37","QJs",76,45,1109,3210,3259,2229,10992,20619,8461,29232,1136,19632
"38","QTs",85,64,1131,3229,3406,2108,10882,20770,8325,29090,1220,19690
"39","Q9s",56,70,1119,3194,2482,2169,11060,21013,8837,28139,1350,20511
"40","Q8s",35,60,1143,3087,1907,2111,10939,21547,9171,27188,1614,21198
"41","Q7s",4,64,1141,3219,1036,2156,11201,21746,9433,26667,1726,21607
"42","Q6s",5,58,1081,3240,1189,2120,11053,21889,9365,26177,1872,21951
"43","Q5s",7,68,1106,3389,1059,2160,11068,21607,9536,26128,1987,21885
"44","Q4s",4,49,1105,3224,931,2126,11257,21839,9465,25952,1955,22093
"45","Q3s",6,78,1116,3231,864,2088,11060,21926,9631,25650,2022,22328
"46","Q2s",2,66,1142,3172,751,2306,11046,21967,9548,25759,1886,22355
"47","JTs",104,46,1168,3217,4217,2075,10811,20247,8115,27606,1197,21197
"48","J9s",67,65,1099,3249,3242,2199,11010,20594,8475,26577,1504,21919
"49","J8s",43,80,1100,3252,2700,2198,11132,20796,8699,25953,1634,22413
"50","J7s",29,56,1138,3254,1874,2214,11060,21295,9080,25056,1818,23126
"51","J6s",8,55,1129,3310,1171,2199,10989,21988,9151,24171,1872,23957
"52","J5s",4,53,1085,3282,1124,2146,11088,21861,9357,24005,2048,23947
"53","J4s",4,59,1062,3211,1085,2210,11246,21615,9508,23835,2088,24077
"54","J3s",6,46,1101,3242,965,2178,11194,21798,9470,23601,2113,24286
"55","J2s",7,60,1148,3294,933,2270,11222,21877,9189,23664,2144,24192
"56","T9s",90,56,1096,3182,4110,2121,10887,20264,8194,25147,1566,23287
"57","T8s",52,77,1166,3225,3499,2251,10959,20465,8306,24727,1778,23495
"58","T7s",49,69,1079,3163,2765,2178,11166,20943,8588,23838,1951,24211
"59","T6s",25,52,1077,3194,2088,2166,11080,21259,9059,22902,2075,25023
"60","T5s",4,57,1071,3269,1268,2224,11270,21673,9164,22121,2246,25633
"61","T4s",6,75,1096,3230,1306,2202,11203,21711,9171,22029,2221,25750
"62","T3s",8,65,1090,3299,1195,2197,11077,21883,9186,21938,2237,25825
"63","T2s",6,71,1066,3268,1146,2157,11115,21903,9268,21922,2202,25876
"64","98s",91,60,1071,3119,4095,2045,10869,20454,8196,23307,1913,24780
"65","97s",75,59,1111,3251,3370,2154,10958,20430,8592,22510,2059,25431
"66","96s",34,66,1119,3255,2575,2218,10944,21007,8782,21753,2192,26055
"67","95s",23,68,1080,3304,1890,2167,10961,21468,9039,21036,2219,26745
"68","94s",6,63,1132,3242,1145,2214,11124,21751,9323,20058,2296,27646
"69","93s",6,59,1153,3345,1168,2193,11046,21815,9215,20291,2286,27423
"70","92s",5,69,1117,3245,1124,2215,11095,21946,9184,20125,2398,27477
"71","87s",72,62,1059,3227,3820,2122,10794,20253,8591,21535,2203,26262
"72","86s",75,76,1146,3171,3024,2148,11024,20644,8692,20718,2393,26889
"73","85s",49,46,1128,3195,2378,2165,11100,20774,9165,19952,2463,27585
"74","84s",30,59,1075,3266,1629,2211,11163,21481,9086,19283,2499,28218
"75","83s",7,55,1085,3241,1152,2199,11094,21846,9321,18771,2533,28696
"76","82s",8,57,1059,3328,1099,2189,11064,22051,9145,18735,2444,28821
"77","76s",86,64,1126,3216,3582,2145,10834,20375,8572,20232,2404,27364
"78","75s",67,55,1157,3204,2788,2104,10921,20751,8953,19213,2582,28205
"79","74s",51,53,1089,3208,2076,2173,11056,21022,9272,18618,2645,28737
"80","73s",27,61,1089,3247,1559,2178,11085,21360,9394,17929,2588,29483
"81","72s",5,61,1137,3276,1052,2175,11162,21898,9234,17656,2689,29655
"82","65s",75,54,1090,3217,3157,2091,10811,20243,9262,18538,2698,28764
"83","64s",51,60,1163,3303,2486,2299,10799,20558,9281,18038,2784,29178
"84","63s",38,66,1131,3233,1847,2184,10911,21128,9462,17380,2828,29792
"85","62s",17,65,1093,3301,1370,2165,11065,21665,9259,16967,2812,30221
"86","54s",77,66,1148,3272,2415,2134,10981,20693,9214,17470,2847,29683
"87","53s",52,66,1108,3254,1775,2183,10943,21192,9427,16900,2851,30249
"88","52s",42,57,1108,3195,1305,2162,11143,21444,9544,16365,2801,30834
